cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000032261-P,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",0.6,0.208,6,0.8,0.2,4,0.885714286,0.018845481,6,0.770588235,0.000476822,16,3,True,+,1,0.080592749
ENSMUSG00000026527-P,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",-0.085714286,0.87174344,6,-0.105409255,0.894590745,4,-0.657142857,0.156174927,6,-0.77286472,0.000447603,16,3,True,-,-1,0.078582552
ENSMUSG00000023046-P,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",-0.885714286,0.018845481,6,-0.8,0.2,4,-0.2,0.704,6,-0.794117647,0.000239191,16,3,True,-,-1,0.067071685
ENSMUSG00000030862-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",1.0,0.0,3,0.5,0.666666667,3,1.0,0.0,4,0.890909091,0.000542144,10,3,True,+,1,0.084297044
ENSMUSG00000013858-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",-1.0,0.0,3,-0.5,0.666666667,3,-0.8,0.2,4,-0.975757576,1.47e-06,10,3,True,-,-1,0.005012227
ENSMUSG00000017221-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",-1.0,0.0,3,-1.0,0.0,3,-0.8,0.2,4,-0.878787879,0.000813862,10,3,True,-,-1,0.09748109
ENSMUSG00000020752-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",1.0,0.0,3,1.0,0.0,3,0.4,0.6,4,0.890909091,0.000542144,10,3,True,+,1,0.084297044
ENSMUSG00000041134-P,"3,5-di-tert-Butyl-4-hydroxyacetophenone",-0.860309002,0.061343779,5,-1.0,0.0,3,-0.6,0.28475698,5,-0.880091558,7.23e-05,13,3,True,-,-1,0.048723309
ENSMUSG00000028051-P,"3,5-di-tert-Butyl-4-hydroxyacetophenone",0.872081599,0.053854218,5,0.866025404,0.333333333,3,0.894427191,0.040519326,5,0.814567611,0.000696646,13,3,True,+,1,0.093515447
ENSMUSG00000015970-P,"3,5-di-tert-Butyl-4-hydroxyacetophenone",-0.872081599,0.053854218,5,-1.0,0.0,3,-0.3,0.623837665,5,-0.803301998,0.000941544,13,3,True,-,-1,0.098452429
ENSMUSG00000007892-P,"3,5-Dimethyl-1,4-diallylpyrazole",-0.542857143,0.265702624,6,-0.8,0.2,4,-0.071428571,0.879048193,7,-0.757352941,0.000430216,17,3,True,-,-1,0.078055046
ENSMUSG00000034930-P,"3,5-Dimethyl-1,4-diallylpyrazole",-0.542857143,0.265702624,6,-1.0,0.0,4,-0.714285714,0.071343561,7,-0.740196078,0.00067992,17,3,True,-,-1,0.092759431
ENSMUSG00000032216-P,"3,5-Dimethylpyrazole",0.666693722,0.10192046,7,0.866025404,0.333333333,3,0.714285714,0.071343561,7,0.769325732,0.000305733,17,3,True,+,1,0.070192523
ENSMUSG00000027523-P,"3,5-Dimethylpyrazole",0.846881215,0.016197127,7,0.866025404,0.333333333,3,0.642857143,0.119392373,7,0.797546613,0.00012554,17,3,True,+,1,0.058652091
ENSMUSG00000024800-P,"3,5-Dimethylpyrazole",0.95499371,0.000805535,7,0.866025404,0.333333333,3,0.642857143,0.119392373,7,0.763190759,0.000365096,17,3,True,+,1,0.073673108
ENSMUSG00000026803-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0,0.0,4,-0.8,0.2,4,,,2,-0.903030303,0.000343612,10,2,True,-,-1,0.071800451
ENSMUSG00000064345-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-0.8,0.2,4,-1.0,0.0,4,,,2,-0.890909091,0.000542144,10,2,True,-,-1,0.084297044
ENSMUSG00000029623-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0,0.0,4,-0.4,0.6,4,,,2,-0.903030303,0.000343612,10,2,True,-,-1,0.071800451
ENSMUSG00000006005-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-0.4,0.6,4,-1.0,0.0,4,,,2,-0.878787879,0.000813862,10,2,True,-,-1,0.09748109
ENSMUSG00000020297-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0,0.0,4,-0.8,0.2,4,,,2,-0.878787879,0.000813862,10,2,True,-,-1,0.09748109
ENSMUSG00000045817-P,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",0.815374248,0.02539921,7,0.2,0.8,4,0.942857143,0.004804665,6,0.820641298,5.44e-05,17,3,True,+,1,0.044356916
ENSMUSG00000024191-P,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",0.815374248,0.02539921,7,0.8,0.2,4,0.542857143,0.265702624,6,0.742016982,0.000648752,17,3,True,+,1,0.09017356
ENSMUSG00000030216-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.72074997,0.067634995,7,1.0,0.0,4,0.107142857,0.819150856,7,0.718637163,0.000779418,18,3,True,+,1,0.09748109
ENSMUSG00000025060-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.684712472,0.089666453,7,1.0,0.0,4,0.357142857,0.431611352,7,0.742385231,0.000418226,18,3,True,+,1,0.077863861
ENSMUSG00000039883-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-0.576599976,0.175381825,7,-0.8,0.2,4,-0.392857143,0.38331687,7,-0.71347454,0.000885246,18,3,True,-,-1,0.097857182
ENSMUSG00000051510-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.900937463,0.005620587,7,0.8,0.2,4,0.571428571,0.180201989,7,0.72896241,0.000599204,18,3,True,+,1,0.088618622
ENSMUSG00000031617-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.991031209,1.46e-05,7,1.0,0.0,4,0.107142857,0.819150856,7,0.771295921,0.000178305,18,3,True,+,1,0.065404371
ENSMUSG00000040661-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.72074997,0.067634995,7,0.8,0.2,4,0.571428571,0.180201989,7,0.752710477,0.000312484,18,3,True,+,1,0.070265145
ENSMUSG00000022568-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-0.72074997,0.067634995,7,-0.8,0.2,4,-0.285714286,0.534509229,7,-0.727929885,0.000615486,18,3,True,-,-1,0.088618622
ENSMUSG00000103731-P,4-(Methoxycarbonyl)phenol,-0.535714286,0.215217456,7,-0.8,0.2,4,-0.607142857,0.148231161,7,-0.717234262,0.000807071,18,3,True,-,-1,0.09748109
ENSMUSG00000061689-P,4-(Trimethylsilyoxy)-3-penten-2-one,-0.090093746,0.84767208,7,-0.316227766,0.683772234,4,-0.607142857,0.148231161,7,-0.754132634,0.000299864,18,3,True,-,-1,0.070097365
ENSMUSG00000046806-P,4-(Trimethylsilyoxy)-3-penten-2-one,-0.684712472,0.089666453,7,-0.632455532,0.367544468,4,-0.75,0.0521814,7,-0.748967342,0.000347856,18,3,True,-,-1,0.07238184
ENSMUSG00000014195-P,4-Hydroxybenzeneacetic acid,-0.821428571,0.023448808,7,,,1,-0.5,0.253169995,7,-0.8,0.00034227,15,2,True,-,-1,0.071800451
ENSMUSG00000001687-P,4-Hydroxybenzeneacetic acid,0.75,0.0521814,7,,,1,0.75,0.0521814,7,0.778571429,0.00062735,15,2,True,+,1,0.089059848
ENSMUSG00000031657-P,4-Hydroxybenzeneacetic acid,0.821428571,0.023448808,7,,,1,0.642857143,0.119392373,7,0.796428571,0.000380468,15,2,True,+,1,0.073907169
ENSMUSG00000021709-P,4-Hydroxybenzeneacetic acid,0.892857143,0.006807187,7,,,1,0.464285714,0.293934108,7,0.807142857,0.000275244,15,2,True,+,1,0.068741648
ENSMUSG00000038135-P,4-Hydroxybenzeneacetic acid,-0.964285714,0.000454149,7,,,1,-0.414431233,0.355268944,7,-0.763445764,0.000926486,15,2,True,-,-1,0.098452429
ENSMUSG00000046351-P,4-Hydroxybenzoic acid,0.178571429,0.701657943,7,0.2,0.8,4,0.785714286,0.036238463,7,0.752321981,0.000316009,18,3,True,+,1,0.070335697
ENSMUSG00000039000-P,4-Hydroxybenzoic acid,0.428571429,0.337368311,7,0.8,0.2,4,0.285714286,0.534509229,7,0.713106295,0.00089323,18,3,True,+,1,0.097974425
ENSMUSG00000070858-P,4-Hydroxybutanoic acid,0.4,0.6,4,1.0,0.0,3,0.359092423,0.552814747,5,0.833626497,0.000753851,12,3,True,+,1,0.096480633
ENSMUSG00000013858-P,4-Hydroxyphenyllactic acid,-0.771428571,0.072396501,6,-0.8,0.2,4,-0.321428571,0.482072038,7,-0.745098039,0.000598715,17,3,True,-,-1,0.088618622
ENSMUSG00000031479-P,4-Hydroxyphenyllactic acid,0.714285714,0.110787172,6,0.4,0.6,4,0.928571429,0.002519472,7,0.764705882,0.000349611,17,3,True,+,1,0.072444542
ENSMUSG00000035934-P,4-Methylvaleric acid,-0.333562192,0.464697077,7,-0.8,0.2,4,-0.392857143,0.38331687,7,-0.772493896,0.000171673,18,3,True,-,-1,0.064898796
ENSMUSG00000083899-P,4-Methylvaleric acid,-0.370624658,0.4131162,7,-1.0,0.0,4,-0.357142857,0.431611352,7,-0.716650964,0.000818807,18,3,True,-,-1,0.09748109
ENSMUSG00000026527-P,4-Pyridinol,-0.598784951,0.155435173,7,-0.105409255,0.894590745,4,-0.666693722,0.10192046,7,-0.778008717,0.000143761,18,3,True,-,-1,0.060080126
ENSMUSG00000039000-P,4-Pyridinol,0.261968416,0.570370593,7,0.4,0.6,4,0.630656224,0.128887696,7,0.753626823,0.000304302,18,3,True,+,1,0.070192523
ENSMUSG00000023046-P,4-Pyridinol,-0.392952624,0.383190823,7,-0.8,0.2,4,-0.48650623,0.268248562,7,-0.750521218,0.000332784,18,3,True,-,-1,0.070704867
ENSMUSG00000041649-P,4-Pyridinol,-0.355528565,0.433846833,7,,,4,-0.894648119,0.006532775,7,-0.769736802,0.000187261,18,2,True,-,-1,0.066441336
ENSMUSG00000046947-P,5-Henicosylresorcinol,-0.821428571,0.023448808,7,,,2,-0.535714286,0.215217456,7,-0.788235294,0.000286466,16,2,True,-,-1,0.069034744
ENSMUSG00000041134-P,5-Hydroxyquinoline,0.610785565,0.145145011,7,0.5,0.666666667,3,0.173931311,0.741733928,6,0.779764839,0.000367909,16,3,True,+,1,0.073684344
ENSMUSG00000014075-P,5-Hydroxyquinoline,0.857142857,0.013697327,7,0.5,0.666666667,3,0.521793932,0.288343234,6,0.777042153,0.000397823,16,3,True,+,1,0.075920585
ENSMUSG00000024687-P,5-Hydroxyquinoline,0.571428571,0.180201989,7,0.5,0.666666667,3,0.927633657,0.007665844,6,0.843267336,4.07e-05,16,3,True,+,1,0.038047159
ENSMUSG00000041685-P,5-Hydroxyquinoline,0.642857143,0.119392373,7,0.5,0.666666667,3,0.49280538,0.320632583,6,0.759382104,0.000644544,16,3,True,+,1,0.089999952
ENSMUSG00000068762-P,"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",0.8,0.2,4,,,1,1.0,0.0,4,0.9,0.000943062,9,2,True,+,1,0.098452429
ENSMUSG00000031513-P,"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",1.0,0.0,4,,,1,0.8,0.2,4,0.916666667,0.000506619,9,2,True,+,1,0.082373118
ENSMUSG00000042745-P,"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",0.8,0.2,4,,,1,1.0,0.0,4,0.933333333,0.0002359,9,2,True,+,1,0.067071685
ENSMUSG00000032641-P,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",,,0,1.0,0.0,3,0.8,0.2,4,0.964285714,0.000454149,7,2,True,+,1,0.078582552
ENSMUSG00000020135-P,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",,,0,1.0,0.0,3,0.8,0.2,4,0.964285714,0.000454149,7,2,True,+,1,0.078582552
ENSMUSG00000038084-P,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",,,0,1.0,0.0,3,1.0,0.0,4,0.964285714,0.000454149,7,2,True,+,1,0.078582552
ENSMUSG00000030216-P,"6,7,4'-Trihydroxyisoflavone",0.4,0.6,4,0.5,0.666666667,3,0.371428571,0.468478134,6,0.807692308,0.00083916,13,3,True,+,1,0.09748109
ENSMUSG00000094002-P,"6,7,4'-Trihydroxyisoflavone",-0.2,0.8,4,,,3,-0.898645105,0.014888622,6,-0.853447931,0.000206671,13,2,True,-,-1,0.067071685
ENSMUSG00000026623-P,"6,7,4'-Trihydroxyisoflavone",0.8,0.2,4,0.5,0.666666667,3,0.6,0.208,6,0.868131868,0.000119103,13,3,True,+,1,0.056988561
ENSMUSG00000024687-P,"6,7,4'-Trihydroxyisoflavone",0.8,0.2,4,1.0,0.0,3,0.657142857,0.156174927,6,0.835164835,0.000380208,13,3,True,+,1,0.073907169
ENSMUSG00000039883-P,"6,7,4'-Trihydroxyisoflavone",-0.4,0.6,4,-1.0,0.0,3,-0.714285714,0.110787172,6,-0.846153846,0.000266012,13,3,True,-,-1,0.067557513
ENSMUSG00000035293-P,"6,7,4'-Trihydroxyisoflavone",-0.8,0.2,4,-1.0,0.0,3,-0.6,0.208,6,-0.802197802,0.000968779,13,3,True,-,-1,0.099433861
ENSMUSG00000024800-P,"6,7,4'-Trihydroxyisoflavone",0.8,0.2,4,1.0,0.0,3,0.142857143,0.787172012,6,0.802197802,0.000968779,13,3,True,+,1,0.099433861
ENSMUSG00000030557-P,"6,7,4'-Trihydroxyisoflavone",0.4,0.6,4,0.5,0.666666667,3,0.314285714,0.544093294,6,0.802197802,0.000968779,13,3,True,+,1,0.099433861
ENSMUSG00000038717-P,"6,8-Dioxapentadecane",0.81167945,0.049857585,6,0.5,0.666666667,3,0.5,0.666666667,3,0.9422081,4.61e-06,12,3,True,+,1,0.012671333
ENSMUSG00000024191-P,"6,8-Dioxapentadecane",0.985610761,0.000309086,6,0.5,0.666666667,3,0.5,0.666666667,3,0.851139659,0.000445901,12,3,True,+,1,0.078582552
ENSMUSG00000064338-P,"6,8-Dioxapentadecane",-0.608759587,0.199660189,6,-0.5,0.666666667,3,-0.5,0.666666667,3,-0.840631762,0.000615569,12,3,True,-,-1,0.088618622
ENSMUSG00000026527-P,"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",-0.974679434,0.00481823,5,-0.948683298,0.051316702,4,-0.432449982,0.332526778,7,-0.802068822,0.000185723,16,3,True,-,-1,0.066409765
ENSMUSG00000002660-P,9-Hexadecenoic acid,0.771428571,0.072396501,6,,,2,0.714285714,0.110787172,6,0.81978022,0.000331437,14,2,True,+,1,0.070704867
ENSMUSG00000028051-P,9-Octadecenamide,-0.7,0.188120404,5,,,3,-0.894427191,0.040519326,5,-0.824295696,0.000528367,13,2,True,-,-1,0.083736289
ENSMUSG00000001687-P,9-Octadecenoic acid,0.704186851,0.077350248,7,,,1,0.900937463,0.005620587,7,0.821532924,0.000172537,15,2,True,+,1,0.064977654
ENSMUSG00000051074-P,9-Octadecenoic acid,0.88949918,0.007339426,7,,,1,0.522543728,0.228877878,7,0.819739184,0.00018328,15,2,True,+,1,0.066011605
ENSMUSG00000049739-P,9-Octadecenoic acid,0.778311782,0.039281056,7,,,1,0.630656224,0.128887696,7,0.855613984,4.75e-05,15,2,True,+,1,0.041370513
ENSMUSG00000040661-P,9-Octadecenoic acid,0.741249317,0.05657714,7,,,1,0.540562478,0.210289253,7,0.796420564,0.000380557,15,2,True,+,1,0.073907169
ENSMUSG00000036613-P,"9H-Fluorene, 9-methylene-",-0.828571429,0.041562682,6,-1.0,0.0,3,-0.8,0.2,4,-0.813186813,0.000723608,13,3,True,-,-1,0.095082146
ENSMUSG00000026341-P,"9H-Fluorene, 9-methylene-",-0.771428571,0.072396501,6,-0.5,0.666666667,3,-1.0,0.0,4,-0.807692308,0.00083916,13,3,True,-,-1,0.09748109
ENSMUSG00000023236-P,"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",,,1,-1.0,0.0,3,-0.857142857,0.013697327,7,-0.863636364,0.000611694,11,2,True,-,-1,0.088618622
ENSMUSG00000036815-P,"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",,,1,-0.5,0.666666667,3,-0.785714286,0.036238463,7,-0.909090909,0.000105593,11,2,True,-,-1,0.056988561
ENSMUSG00000026096-P,"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",,,1,0.5,0.666666667,3,0.928571429,0.002519472,7,0.963636364,1.85e-06,11,2,True,+,1,0.006114571
ENSMUSG00000037012-P,"Acetamide, 2,2,2-trifluoro-",-0.6,0.208,6,,,1,-0.571428571,0.180201989,7,-0.916483516,4.08e-06,14,2,True,-,-1,0.01225817
ENSMUSG00000031967-P,"Acetamide, 2,2,2-trifluoro-",-0.428571429,0.396501458,6,,,1,-0.892857143,0.006807187,7,-0.841758242,0.000159738,14,2,True,-,-1,0.062288922
ENSMUSG00000005699-P,"Acetic acid, bis[(trimethylsilyl)oxyl]-",0.72074997,0.067634995,7,1.0,0.0,3,0.23424374,0.613155037,7,0.743558842,0.000623295,17,3,True,+,1,0.089059848
ENSMUSG00000071637-P,Acetoacetic acid,-0.974679434,0.00481823,5,-0.4,0.6,4,-0.820782682,0.088587005,5,-0.799561411,0.000598626,14,3,True,-,-1,0.088618622
ENSMUSG00000051510-P,Aceturic acid,0.8,0.104088039,5,1.0,0.0,3,0.521793932,0.288343234,6,0.875688099,4.05e-05,14,3,True,+,1,0.038047159
ENSMUSG00000048330-P,Aceturic acid,0.3,0.623837665,5,1.0,0.0,3,0.521793932,0.288343234,6,0.792079687,0.000732972,14,3,True,+,1,0.09525589
ENSMUSG00000044224-P,Adipoyl-L-carnitine,1.0,0.0,3,1.0,0.0,3,,,0,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000042426-P,Adipoyl-L-carnitine,-1.0,0.0,3,-1.0,0.0,3,,,0,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000030016-P,Adipoyl-L-carnitine,1.0,0.0,3,1.0,0.0,3,,,0,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000030216-P,Alloxanic acid,,,2,1.0,0.0,3,1.0,0.0,3,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000021215-P,Alloxanic acid,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.976190476,3.31e-05,8,2,True,-,-1,0.035186847
ENSMUSG00000032018-P,Alloxanic acid,,,2,0.5,0.666666667,3,0.5,0.666666667,3,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000040167-P,Alloxanic acid,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.952380952,0.0002604,8,2,True,-,-1,0.067071685
ENSMUSG00000017286-P,Alloxanic acid,,,2,0.5,0.666666667,3,1.0,0.0,3,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000038884-P,Alloxanic acid,,,2,1.0,0.0,3,1.0,0.0,3,0.976190476,3.31e-05,8,2,True,+,1,0.035186847
ENSMUSG00000020546-P,Alloxanic acid,,,2,1.0,0.0,3,0.5,0.666666667,3,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000037408-P,Alloxanic acid,,,2,1.0,0.0,3,0.5,0.666666667,3,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000026784-P,Allylescaline ,-0.785714286,0.036238463,7,-0.8,0.2,4,-0.828862466,0.021173516,7,-0.779556118,0.000136658,18,3,True,-,-1,0.059783548
ENSMUSG00000022843-P,"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",1.0,0.0,3,0.948683298,0.051316702,4,,,2,0.928878424,0.000294526,9,2,True,+,1,0.069788514
ENSMUSG00000027374-P,alpha-Linolenic acid,-0.792824967,0.033443544,7,,,2,-0.485714286,0.328723032,6,-0.798927933,0.000353391,15,2,True,-,-1,0.072769131
ENSMUSG00000015461-P,"Arabinofuranose, 1,2,3,5-tetrakis-O-",-0.75,0.0521814,7,-0.5,0.666666667,3,-0.5,0.253169995,7,-0.767156863,0.000325722,17,3,True,-,-1,0.070704867
ENSMUSG00000061689-P,"Arabinofuranose, 1,2,3,5-tetrakis-O-",-0.607142857,0.148231161,7,-0.5,0.666666667,3,-0.321428571,0.482072038,7,-0.779411765,0.000225699,17,3,True,-,-1,0.067071685
ENSMUSG00000038827-P,"Arabinofuranose, 1,2,3,5-tetrakis-O-",0.321428571,0.482072038,7,0.5,0.666666667,3,0.785714286,0.036238463,7,0.767156863,0.000325722,17,3,True,+,1,0.070704867
ENSMUSG00000024687-P,Arachidonic acid,0.558581227,0.192452532,7,0.4,0.6,4,0.576599976,0.175381825,7,0.756198751,0.000282295,18,3,True,+,1,0.068741648
ENSMUSG00000039883-P,Arachidonic acid,-0.522543728,0.228877878,7,-0.4,0.6,4,-0.72074997,0.067634995,7,-0.731405349,0.000562111,18,3,True,-,-1,0.08621001
ENSMUSG00000040661-P,Arachidonic acid,0.774806218,0.040769463,7,1.0,0.0,4,0.684712472,0.089666453,7,0.778926035,0.000139514,18,3,True,+,1,0.059783548
ENSMUSG00000033047-P,Arsenous acid,-0.8,0.2,4,,,1,-1.0,0.0,3,-0.976190476,3.31e-05,8,2,True,-,-1,0.035186847
ENSMUSG00000015932-P,Aspartic acid,-0.8,0.2,4,-0.5,0.666666667,3,-0.353553391,0.559404344,5,-0.872024179,0.000217238,12,3,True,-,-1,0.067071685
ENSMUSG00000026483-P,Atrazine desethyl,0.642857143,0.119392373,7,,,2,0.5,0.253169995,7,0.770588235,0.000476822,16,2,True,+,1,0.080592749
ENSMUSG00000039883-P,Azatadine,-0.464285714,0.293934108,7,,,1,-0.5,0.253169995,7,-0.817857143,0.000195137,15,2,True,-,-1,0.067071685
ENSMUSG00000078201-P,Azatadine,0.357142857,0.431611352,7,,,1,0.714285714,0.071343561,7,0.807142857,0.000275244,15,2,True,+,1,0.068741648
ENSMUSG00000022711-P,"Azetidine, 1-acetyl-2-methyl-",1.0,0.0,3,0.8,0.2,4,,,2,0.9,0.000943062,9,2,True,+,1,0.098452429
ENSMUSG00000029438-P,"Azetidine, 1-acetyl-2-methyl-",0.5,0.666666667,3,1.0,0.0,4,,,2,0.9,0.000943062,9,2,True,+,1,0.098452429
ENSMUSG00000070858-P,"Aziridine, 1-(2-buten-2-yl)-",-0.5,0.666666667,3,-0.5,0.666666667,3,-1.0,1.3999999999999999e-24,5,-0.863636364,0.000611694,11,3,True,-,-1,0.088618622
ENSMUSG00000059495-P,"Benzaldehyde, 2,5-dimethyl-",0.8,0.2,4,0.8,0.2,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000035133-P,"Benzaldehyde, 2,5-dimethyl-",0.8,0.2,4,0.8,0.2,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000005510-P,"Benzaldehyde, 2,5-dimethyl-",0.4,0.6,4,1.0,0.0,4,,,0,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000029790-P,"Benzaldehyde, 2,5-dimethyl-",1.0,0.0,4,1.0,0.0,4,,,0,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000032372-P,"Benzaldehyde, 2,5-dimethyl-",0.8,0.2,4,0.8,0.2,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000046351-P,"Benzaldehyde, 2,5-dimethyl-",1.0,0.0,4,0.8,0.2,4,,,0,0.976190476,3.31e-05,8,2,True,+,1,0.035186847
ENSMUSG00000045817-P,"Benzaldehyde, 2,5-dimethyl-",1.0,0.0,4,0.8,0.2,4,,,0,0.976190476,3.31e-05,8,2,True,+,1,0.035186847
ENSMUSG00000038064-P,"Benzaldehyde, 2,5-dimethyl-",-1.0,0.0,4,-0.8,0.2,4,,,0,-0.928571429,0.000862968,8,2,True,-,-1,0.09748109
ENSMUSG00000064338-P,"Benzaldehyde, 2,5-dimethyl-",-0.6,0.4,4,-0.8,0.2,4,,,0,-0.928571429,0.000862968,8,2,True,-,-1,0.09748109
ENSMUSG00000031715-P,"Benzaldehyde, 2,5-dimethyl-",1.0,0.0,4,0.8,0.2,4,,,0,0.976190476,3.31e-05,8,2,True,+,1,0.035186847
ENSMUSG00000058756-P,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",1.0,0.0,3,,,0,1.0,0.0,3,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000027598-P,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",-1.0,0.0,3,,,0,-1.0,0.0,3,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000018293-P,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",-1.0,0.0,3,,,0,-1.0,0.0,3,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000026803-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-0.542857143,0.265702624,6,-0.8,0.2,4,-0.272772363,0.553960652,7,-0.763190759,0.000365096,17,3,True,-,-1,0.073673108
ENSMUSG00000036718-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-0.542857143,0.265702624,6,-0.8,0.2,4,-0.927426034,0.002620044,7,-0.776687701,0.000245347,17,3,True,-,-1,0.067071685
ENSMUSG00000041134-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-0.394664881,0.438739252,6,-0.4,0.6,4,-0.272772363,0.553960652,7,-0.770234475,0.000297668,17,3,True,-,-1,0.070030494
ENSMUSG00000034957-P,"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",1.0,0.0,6,,,1,0.9,0.037386073,5,0.93006993,1.17e-05,12,2,True,+,1,0.022726644
ENSMUSG00000062040-P,"Benzenemethanamine, 2,3-dimethoxy-",0.846881215,0.016197127,7,,,2,0.56372955,0.187496332,7,0.800296724,0.000196684,16,2,True,+,1,0.067071685
ENSMUSG00000052751-P,Benzenepropanoic acid,0.428571429,0.337368311,7,0.5,0.666666667,3,0.666693722,0.10192046,7,0.727161387,0.000941323,17,3,True,+,1,0.098452429
ENSMUSG00000052951-P,Benzenepropanoic acid,-0.918956212,0.003436626,7,-1.0,0.0,3,-0.822753351,0.023033716,7,-0.794039849,0.000141241,17,3,True,-,-1,0.059783548
ENSMUSG00000032216-P,"Benzimidazole, 5-trifluoromethyl-2-methyl-",0.709208143,0.07433118,7,1.0,0.0,4,0.756787469,0.048905099,7,0.7648588,0.000217773,18,3,True,+,1,0.067071685
ENSMUSG00000027523-P,"Benzimidazole, 5-trifluoromethyl-2-methyl-",0.763762616,0.045659124,7,1.0,0.0,4,0.774806218,0.040769463,7,0.847546238,8.99e-06,18,3,True,+,1,0.01817195
ENSMUSG00000067928-P,"Benzimidazole, 5-trifluoromethyl-2-methyl-",0.654653671,0.110566691,7,0.8,0.2,4,0.756787469,0.048905099,7,0.711111966,0.000937525,18,3,True,+,1,0.098452429
ENSMUSG00000091183-P,"Benzimidazole, 5-trifluoromethyl-2-methyl-",0.811465208,0.026705283,7,0.948683298,0.051316702,4,0.89754911,0.006102124,7,0.764103111,0.000222855,18,3,True,+,1,0.067071685
